"periodo_evasao";"id_aluno";"codigo_curso";"periodo_ingressao";"codigo_ingressao";"codigo_evasao";"nota_ingressao";"naturalidade";"estado";"tipo_ensino";"cotista";"ano_nascimento";"genero";"matricula"
1992.2;32484682468;13301100;1992.2;5;1;NA;NA;NA;NA;NA;1900;"F";192230129
1992.2;77051416472;13304100;1990.1;1;4;547;NA;NA;NA;NA;1971;"M";190130551
1993.1;64675378404;15122100;1985.1;1;1;573;NA;NA;NA;NA;1967;"M";185110074
1993.1;84063823415;14123100;1988.1;1;1;679;NA;NA;NA;NA;1970;"M";188110268
1993.1;13271288453;21316210;1989.2;5;1;NA;"SÃO JOSÉ DA LAGOA TAPADA";"PB";NA;NA;1951;"M";289230694
1993.1;46067396572;13301100;1990.1;1;1;703;NA;NA;NA;NA;1971;"F";190130503
1993.1;71870954491;13301100;1990.1;1;1;683;NA;NA;NA;NA;1970;"F";190130510
1993.1;58210873415;21309210;1990.1;8;1;NA;"PARANABAI";"PR";NA;NA;1960;"F";290130337
1993.1;4842057491;11124100;1976.2;2;4;468;NA;NA;NA;NA;1947;"M";176210392
1993.1;60236973487;21309210;1990.1;8;4;NA;NA;NA;NA;NA;1968;"M";290130306
1993.2;51870134400;11128100;1986.1;1;1;548;"CAMPINA GRANDE";"PB";NA;NA;1966;"F";186110382
1993.2;42451388404;15122100;1986.2;1;1;471;NA;NA;NA;NA;1965;"F";186210136
1993.2;57371130430;15122100;1987.1;1;1;489;NA;NA;NA;NA;1967;"F";187110103
1993.2;72697750444;12205100;1987.2;1;1;615;NA;NA;NA;NA;1969;"F";187220110
1993.2;78879973487;12205100;1988.1;1;1;728;NA;NA;NA;NA;1971;"F";188120105
1993.2;26893398387;12205100;1988.1;1;1;777;NA;NA;NA;NA;1965;"M";188120102
1993.2;78852463453;14123100;1988.2;1;1;587;NA;NA;NA;NA;1971;"M";188210124
1993.2;2524053407;41410100;1989.1;1;1;550;NA;NA;NA;NA;1971;"M";489120240
1993.2;91101948434;15122100;1989.1;1;1;563;NA;NA;NA;NA;1972;"F";189110223
1993.2;71428992472;41410100;1989.1;1;1;487;NA;NA;NA;NA;1970;"M";489120011
1993.2;80555926400;21312110;1990.1;1;1;NA;NA;NA;NA;NA;1971;"F";290130453
1993.2;62674862491;14123100;1991.2;1;1;587;NA;NA;NA;NA;1900;"M";191210009
1993.2;19108311404;11128100;1981.2;1;4;564;NA;NA;NA;NA;1959;"M";181210129
1993.2;69082839415;11126100;1991.1;1;4;527;NA;NA;NA;NA;1973;"F";191110421
1994.1;51166887472;11126100;1985.2;3;1;NA;NA;NA;NA;NA;1960;"M";185210147
1994.1;75353784472;11128100;1988.1;1;1;527;NA;NA;NA;NA;1970;"M";188110450
1994.1;71443207420;12205100;1988.2;1;1;617;NA;NA;NA;NA;1970;"F";188220121
1994.1;71442588420;13301100;1989.2;1;1;515;NA;NA;NA;NA;1970;"M";189230209
1994.1;67384994420;21309210;1990.1;1;1;NA;NA;NA;NA;NA;1968;"M";290130315
1994.1;82622884400;13304100;1990.1;1;1;606;NA;NA;NA;NA;1971;"F";190130552
1994.1;47888598587;14123100;1990.1;1;1;634;NA;NA;NA;NA;1970;"M";190110350
1994.1;60117010430;21309210;1990.1;2;1;NA;NA;NA;NA;NA;1965;"F";290130788
